mount_type,fixture_configuration,wind_speed_mph,pole_height_ft,Alaskan Yellow Cedar Poles EPA,Southern Yellow Pine Poles EPA,ero_vista_pole_size
BASE,Top Mount Fixture,115 - 120 MPH,8,41.92,57.24,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,120 - 130 MPH,8,35.28,48.33,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,130 - 140 MPH,8,30.01,41.25,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,140 - 150 MPH,8,25.76,35.56,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,150 - 160 MPH,8,22.27,30.89,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,10,35.25,48.55,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,115 - 120 MPH,10,32.07,44.29,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,120 - 130 MPH,10,26.77,37.19,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,130 - 140 MPH,10,22.57,31.55,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,140 - 150 MPH,10,19.01,27,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,150 - 160 MPH,10,16.06,23.28,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,12,27.85,38.93,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,115 - 120 MPH,12,25.15,35.38,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,120 - 130 MPH,12,20.48,29.48,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,130 - 140 MPH,12,16.78,24.71,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,140 - 150 MPH,12,13.8,20.7,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,150 - 160 MPH,12,11.36,17.42,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,14,21.47,31.36,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,115 - 120 MPH,14,19.11,28.22,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,120 - 130 MPH,14,15.19,22.95,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,130 - 140 MPH,14,12.07,18.76,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,140 - 150 MPH,14,9.55,15.38,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,150 - 160 MPH,14,7.49,12.61,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,16,16.03,24.49,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,115 - 120 MPH,16,14.03,21.8,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,120 - 130 MPH,16,10.7,17.31,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,130 - 140 MPH,16,8.05,13.76,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,140 - 150 MPH,16,5.92,10.88,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,150 - 160 MPH,16,4.17,8.54,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,18,11.56,18.89,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,115 - 120 MPH,18,9.84,16.57,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,120 - 130 MPH,18,6.96,12.7,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,130 - 140 MPH,18,4.69,9.63,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,140 - 150 MPH,18,2.85,7.16,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,150 - 160 MPH,18,1.35,5.13,"6-3/4"" x 6-3/4"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,20,7.75,14.18,"6-3/4"" x 6-3/4"""
